Analyse de l'image : IMG_20190829_140446.jpg
Résultats de la prédiction :
- Classe 452 : 0.00%
- Classe 453 : 0.00%
- Classe 454 : 0.00%
- Classe 455 : 0.00%
- Classe 456 : 0.00%
- Classe 457 : 0.00%
- Classe 458 : 0.00%
- Classe 459 : 0.00%
- Classe 460 : 0.00%
- Classe 461 : 0.00%
- Classe 462 : 0.00%
- Classe 463 : 0.00%
- Classe 464 : 0.00%
- Classe 465 : 0.00%
- Classe 466 : 0.00%
- Classe 467 : 0.00%
- Classe 468 : 0.00%
- Classe 469 : 0.00%
- Classe 470 : 0.00%
- Classe 471 : 0.00%
- Classe 472 : 0.00%
- Classe 473 : 0.00%
- Classe 474 : 0.00%
- Classe 475 : 0.00%
- Classe 476 : 0.00%
- Classe 477 : 0.00%
- Classe 478 : 0.00%
- Classe 479 : 0.00%
- Classe 480 : 0.00%
- Classe 481 : 0.00%
- Classe 482 : 0.00%
- Classe 483 : 0.00%
- Classe 484 : 0.00%
- Classe 485 : 0.00%
- Classe 486 : 0.00%
- Classe 487 : 0.00%
- Classe 488 : 0.00%
- Classe 489 : 0.00%
- Classe 490 : 0.00%
- Classe 491 : 0.00%
- Classe 492 : 0.00%
- Classe 493 : 0.00%
- Classe 494 : 0.00%
- Classe 495 : 0.00%
- Classe 496 : 0.00%
- Classe 497 : 0.00%
- Classe 498 : 0.00%
- Classe 499 : 0.00%
- Classe 500 : 0.00%
- Classe 501 : 0.00%
- Classe 502 : 0.00%
- Classe 503 : 0.00%
- Classe 504 : 0.00%
- Classe 505 : 0.00%
- Classe 506 : 0.00%
- Classe 507 : 0.00%
- Classe 508 : 0.00%
- Classe 509 : 0.00%
- Classe 510 : 0.00%
- Classe 511 : 0.00%
- Classe 512 : 0.00%
- Classe 513 : 0.00%
- Classe 514 : 0.00%
- Classe 515 : 0.00%
- Classe 516 : 0.00%
- Classe 517 : 0.00%
- Classe 518 : 0.00%
- Classe 519 : 0.00%
- Classe 520 : 0.00%
- Classe 521 : 0.00%
- Classe 522 : 0.00%
- Classe 523 : 0.00%
- Classe 524 : 0.00%
- Classe 525 : 0.00%
- Classe 526 : 0.00%
- Classe 527 : 0.00%
- Classe 528 : 0.00%
- Classe 529 : 0.00%
- Classe 530 : 0.00%
- Classe 531 : 0.00%
- Classe 532 : 0.00%
- Classe 533 : 0.00%
- Classe 534 : 0.00%
- Classe 535 : 0.00%
- Classe 536 : 0.00%
- Classe 537 : 0.00%
- Classe 538 : 0.00%
- Classe 539 : 0.00%
- Classe 540 : 0.00%
- Classe 541 : 0.00%
- Classe 542 : 0.00%
- Classe 543 : 0.00%
- Classe 544 : 0.00%
- Classe 545 : 0.00%
- Classe 546 : 0.00%
- Classe 547 : 0.00%
- Classe 548 : 0.00%
- Classe 549 : 1.00%
- Classe 550 : 0.00%
- Classe 551 : 0.00%
- Classe 552 : 0.00%
- Classe 553 : 0.00%
- Classe 554 : 0.00%
- Classe 555 : 0.00%
- Classe 556 : 0.00%
- Classe 557 : 0.00%
- Classe 558 : 0.00%
- Classe 559 : 0.00%
- Classe 560 : 0.00%
- Classe 561 : 0.00%
- Classe 562 : 0.00%
- Classe 563 : 0.00%
- Classe 564 : 0.00%
- Classe 565 : 0.00%
- Classe 566 : 0.00%
- Classe 567 : 0.00%
